scheme_name,fund_house,sharpe_ratio
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,1.84
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,1.52
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,1.33
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.06
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.06
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.03
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.0
